"Position","Candidate Name","Votes","Votes %","Party"
1,Adsul Anandrao Vithoba,467212,46.5%,Shiv Sena
2,Navneet Ravi Rana,329280,32.8%,Nationalist Congress Party
3,Gunwant Sudamrao Devpare,98200,9.8%,Bahujan Samaj Party
4,Dr.Rajendra Ramkrishna Gawai,54278,5.4%,Republican Party Of India
5,Raju Mahadeorao Sonone,10052,1.0%,Independent
6,Raju S. Mankar,7873,0.8%,Independent
7,Bhavna Bhavesh Wasnik,6424,0.6%,Aam Aadmi Party
8,Sirsat Haridas Ankush,5268,0.5%,Independent
9,Adv. Bandya Sane Alias Bandu Sampatrao Sane,3732,0.4%,Independent
10,Jyoti Gajanan Makode,3724,0.4%,Ambedkarite Party Of India
11,Manohar Baliram Sonone,2489,0.2%,Independent
12,Vishwanath Gotuji Jamnekar,2011,0.2%,Independent
13,Dongre Priya Anil,1734,0.2%,Independent
14,Athawaley Sanjay Hiramanji,1649,0.2%,Independent
15,Sunil David Amravati,1463,0.1%,Bahujan Mukti Party
16,Ramteke Ramesh Devidasrao,1442,0.1%,Republican Party Of India (KHOBRAGADE)
17,Jyoti Sanjay Dewkar,1312,0.1%,Independent
18,Kirantai Dadarao Alias Kokubhau Kokate,970,0.1%,Independent
19,Ashatai Abhyankar Amravati,809,0.1%,Independent
