"Position","Candidate Name","Votes","Votes %","Party"
1,Bhola Singh,428227,39.7%,Bharatiya Janta Party
2,Md. Tanveer Hassan,369892,34.3%,Rashtriya Janata Dal
3,Rajendra Prasad Singh,192639,17.9%,Communist Party Of India
4,Vaij Nath Paswan,12143,1.1%,Independent
5,Sushil Kumar,11144,1.0%,Independent
6,Ram Padarath Yadav,9014,0.8%,Bahujan Samaj Party
7,Sunil Kumar,8639,0.8%,Aam Aadmi Party
8,Pinki Devi,4858,0.5%,Bahujan Mukti Party
9,Rajendra Yadav,4605,0.4%,Independent
10,Mohammad Javed,3405,0.3%,Independent
11,Hari Kant Prasad,3344,0.3%,Bharatiya Bahujan Congress
12,Pankaj Paswan,3323,0.3%,Independent
