"Position","Candidate Name","Votes","Votes %","Party"
1,Alok Sanjar,714178,63.2%,Bharatiya Janta Party
2,P C Sharma (PRAKASH MANGILAL SHARMA ),343482,30.4%,Indian National Congress
3,Rachna Dhingra,21298,1.9%,Aam Aadmi Party
4,Sunil Borse,10152,0.9%,Bahujan Samaj Party
5,Shailendra Kumar Shaili,7643,0.7%,Communist Party Of India
6,Sheeba Malik,5742,0.5%,Samajwadi Party
7,Master Sajid Siddiqui,5557,0.5%,Social Democratic Party Of India
8,Abdul Tahir (BABLU - ADVOCATE),1878,0.2%,Independent
9,Colonel Kesari Singh,1840,0.2%,Independent
10,Vijay Kumar,1494,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
11,Rajesh Keer,1348,0.1%,Bahujan Mukti Party
12,Satish Babu Naidu,832,0.1%,Independent
13,Rajaram Mehar,796,0.1%,Proutist Sarva Samaj
14,Mukesh Kumar Bansal,763,0.1%,Samta Vikas Party
15,Brajendra Gappu Chaturvedi,684,0.1%,Independent
16,Gundesh Khambra,681,0.1%,Independent
17,J C Barai,628,0.1%,Socialist Unity Centre Of India (COMMUNIST)
18,Md. Ateek,625,0.1%,Prajatantrik Samadhan Party
19,Badshah Khan,622,0.1%,Naya Daur Party
20,M C Mittal Jai Gurudeo Tatdhari,620,0.1%,Independent
21,Gautam Shinde,614,0.1%,Apna Dal
22,Mahant Gopal Das Baba Shahab,570,0.1%,Independent
23,Mehboob Khan,569,0.1%,Independent
24,Ashok Pawar,551,0.0%,Samata Samadhan Party
25,Balbhadra Mishra,523,0.0%,Bhartiya Jan Yug Party
26,Daniel John,465,0.0%,Independent
27,Prabhawati Shakya Khot,425,0.0%,Independent
28,Peeyush Soni,421,0.0%,Independent
