x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Bhai Virendra,"89,773",50.1%,Rashtriya Janata Dal
2,2,Shrikant Nirala,"66,945",37.3%,Bharatiya Janta Party
3,3,Gopal Singh,"4,332",2.4%,Communist Party Of India (Marxist-Leninist) (Liberation)
4,4,Chaudhary Brahm Prakash Singh,"2,418",1.4%,Independent
5,5,Amarnath Prasad,"2,114",1.2%,Samajwadi Party
6,6,Rajpati Devi,"1,809",1.0%,Bahujan Samaj Party
7,7,Lalan Kumar,"1,619",0.9%,Jan Adhikar Party (Loktantrik)
8,8,Anju Devi,"1,606",0.9%,Independent
9,9,Pawan Kumar,"1,580",0.9%,Independent
10,10,Surendra Paswan,558,0.3%,Jawan Kisan Morcha
11,11,Durgesh Nandan Yadav,540,0.3%,Rashtriya Janvikas Party (Democratic)
12,12,Chandradev Vishwakarma,494,0.3%,Republican Party Of India
13,13,Kamlesh Kumar,443,0.3%,Lok Awaz Dal
