x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Mohammad Nawaz Alam,"70,004",44.9%,Rashtriya Janata Dal
2,2,Amrendra Pratap Singh,"69,338",44.5%,Bharatiya Janta Party
3,3,Kyamuddin Ansari,"5,035",3.2%,Communist Party Of India (Marxist-Leninist) (Liberation)
4,4,Jitendra Kumar,"1,710",1.1%,Independent
5,5,Rajkishor Sharma,"1,221",0.8%,Independent
6,6,Priya Ranjan Prasad Srivastava,"1,175",0.8%,Samras Samaj Party
7,7,Ajay Kumar Pathak,"1,015",0.7%,Akhil Bharatiya Jan Sangh
8,8,Sidhnath Rai,875,0.6%,Samajwadi Party
9,9,Krishna Mishra,839,0.5%,Bahujan Samaj Party
10,10,Kameshwar Singh,717,0.5%,Independent
11,11,Umeshwar Mishra,655,0.4%,Bhartiya Jagran Party
