x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kumar Sarvjeet,"82,656",50.0%,Rashtriya Janata Dal
2,2,Shyamdeo Paswan,"52,183",31.6%,Bharatiya Janta Party
3,3,Devendra Manjhi,"4,265",2.6%,Independent
4,4,Janki Paswan,"4,057",2.5%,Communist Party Of India
5,5,Naresh Kumar Bharti,"2,872",1.7%,Independent
6,6,Sikandar Choudhary,"2,439",1.5%,Bharat Bhrashtachar Mitao Party
7,7,Sharawan Manjhi,"1,750",1.1%,Bahujan Samaj Party
8,8,Amod Kumar Paswan,"1,742",1.1%,Shiv Sena
9,9,Deen Dayal Bharati Or Kapil Choudhry,"1,561",0.9%,Nationalist Congress Party
10,10,Satyendra Kumar,"1,547",0.9%,Garib Janta Dal (Secular)
11,11,Rambali Manjhi,"1,052",0.6%,Pragatisheel Magahi Samaj
12,12,Sanjay Paswan,905,0.6%,International Party
13,13,Mina Devi,891,0.5%,Rashtriya Mazdoor Ekta Party
14,14,Rajkumar Paswan,873,0.5%,Akhil Bharat Hindu Mahasabha
15,15,Prabhu Paswan,820,0.5%,Republican Party Of India (A)
