x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Gulab Yadav,"64,320",40.7%,Rashtriya Janata Dal
2,2,Nitish Mishra,"63,486",40.2%,Bharatiya Janta Party
3,3,Sunil Kumar Jha,"7,022",4.5%,Independent
4,4,Ram Narayan Yadav,"4,531",2.9%,Communist Party Of India
5,5,Sada Nand Suman,"4,237",2.7%,Independent
6,6,Om Prakash,"3,309",2.1%,Independent
7,7,Ram Narayan Mahto,"2,639",1.7%,Independent
8,8,Md. Hasnaian,"1,593",1.0%,Independent
9,9,Rajesh Kumar Jha,"1,195",0.8%,Independent
10,10,Mohammad Manjur Alam,929,0.6%,Independent
11,11,Awdesh Kumar Shing,597,0.4%,Independent
12,12,Ram Bharos Paswan,574,0.4%,Bahujan Samaj Party
13,13,Ganapati Jha,535,0.3%,Samajwadi Party
14,14,Mustafa Kamal,435,0.3%,Rashtriya Samanta Dal
15,15,Rajeev Kumar,423,0.3%,Aarakshan Virodhi Party
16,16,Pawan Kumar Mishra,380,0.2%,Akhil Bharat Hindu Mahasabha
17,17,Dhirendra Kumar Kamat,348,0.2%,Samajwadi Janata Dal Democratic
18,18,Navin Kumar Ram,317,0.2%,The National Road Map Party Of India
