x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Vinay Varma,"57,212",37.3%,Indian National Congress
2,2,Renu Devi,"41,151",26.8%,Bharatiya Janta Party
3,3,Rashmi Verma,"39,200",25.5%,Independent
4,4,Rambhaju Mahato,"2,262",1.5%,Independent
5,5,Naushad Alam,"2,124",1.4%,Bahujan Samaj Party
6,6,Shailesh Mishra,"1,666",1.1%,Independent
7,7,Prem Narayan Ojha,"1,431",0.9%,Shiv Sena
8,8,Umesh Yadaw,"1,359",0.9%,Samajwadi Party
9,9,Bhot Chaturvedi,"1,076",0.7%,Independent
10,10,Ramesh Paswan,"1,072",0.7%,Independent
11,11,Manish Alam,967,0.6%,Nationalist Congress Party
12,12,Om Shanti Baba,956,0.6%,Bharatiya Ekta Dal
13,13,Mukhtar Miyan,799,0.5%,Communist Party Of India (Marxist-Leninist) (Liberation)
14,14,Vinay Sah,725,0.5%,Independent
15,15,Meraj Ahmad,432,0.3%,Janta Dal Rashtravadi
16,16,Nathu Ravi,399,0.3%,Bahujan Mukti Party
