x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Achmit Rishidev,"77,717",48.2%,Janata Dal (United)
2,2,Ramji Das Rishidev,"62,787",38.9%,Bharatiya Janta Party
3,3,Basant Paswan,"2,976",1.8%,Independent
4,4,Sunil Paswan,"2,342",1.5%,Jan Adhikar Party (Loktantrik)
5,5,Jay Ram Rishidev,"1,935",1.2%,Bahujan Samaj Party
6,6,Dr. Amit Kumar,"1,669",1.0%,All India Majlis-E-Ittehadul Muslimoon
7,7,Ramanand Rishidev At- Kajara,"1,067",0.7%,Shiv Sena
8,8,Ramanand Rishidev At- Thila Mohan,"1,058",0.7%,Vanchitsamaj Insaaf Party
9,9,Kailash Rishidev,773,0.5%,Communist Party Of India (Marxist-Leninist) (Liberation)
10,10,Fudan Paswan,744,0.5%,Janta Dal Rashtravadi
11,11,Raghunath Ram,707,0.4%,Rashtriya Mahan Gantantra Party
12,12,Parsuram Dharkar,688,0.4%,Loktantrik Janata Party (Secular)
13,13,Dayanand Paswan,588,0.4%,Jharkhand Mukti Morcha
