x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Abdul Bari Siddiqui,"67,461",48.3%,Rashtriya Janata Dal
2,2,Mishri Lal Yadav,"54,001",38.7%,Bharatiya Janta Party
3,3,Raj Kumar Jha,"4,009",2.9%,Independent
4,4,Naseem Azam Siddiqui,"2,948",2.1%,Jan Adhikar Party (Loktantrik)
5,5,Mahmud Aalam,"1,533",1.1%,Bahujan Samaj Party
6,6,Ram Safi,"1,353",1.0%,Independent
7,7,Anant Kumar,"1,173",0.8%,Independent
8,8,Harihar Kumar Jha,824,0.6%,Communist Party Of India (Marxist-Leninist) (Liberation)
9,9,Rajipal Jha,778,0.6%,Independent
10,10,Dinesh Mishra,533,0.4%,Independent
11,11,Harishchandra Jha,421,0.3%,Sarvajan Kalyan Loktantrik Party
