x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Surendra Kumar,"66,958",43.4%,Rashtriya Janata Dal
2,2,Ram Surat Ray,"56,133",36.4%,Bharatiya Janta Party
3,3,Lalbabu Sahni,"8,747",5.7%,Sarvajan Kalyan Loktantrik Party
4,4,Mohamd Saifee,"4,561",3.0%,Independent
5,5,Saket Kumar  Singh,"2,837",1.8%,Independent
6,6,Ganesh Prasad Chauhan,"2,096",1.4%,Bahujan Samaj Party
7,7,Ashok Kumar Jha,"1,953",1.3%,Garib Janshakti Party
8,8,Gopal Prasad Shahi,"1,723",1.1%,Independent
9,9,Nageshwar Prasad Singh,"1,513",1.0%,Independent
10,10,Muzaffar Hasnain,"1,164",0.8%,Aap Aur Hum Party
11,11,Bhola Sah,"1,129",0.7%,Samajwadi Party
12,12,Sanjay Choudhary,909,0.6%,Jan Adhikar Party (Loktantrik)
13,13,Surendra Kumar,820,0.5%,Bajjikanchal Vikas Party
14,14,Ravindra Kumar,701,0.5%,All India Forward Bloc
15,15,Murari Prasad Yadav,643,0.4%,Bharatiya Yuva Party (Democratic)
