x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Ajesh Yadav,"72,795",51.1%,Aam Aadmi Party
2,2,Devender Yadav,"37,419",26.3%,Indian National Congress
3,3,Rajesh Yadav,"28,238",19.8%,Bharatiya Janta Party
4,4,Rakesh Kumar,947,0.7%,Socialist Unity Centre Of India (COMMUNIST)
5,5,Anand Prakash Rana,729,0.5%,Independent
6,6,Dr. Md. Jawed Habib,685,0.5%,Bahujan Samaj Party
7,7,Jai Pal,293,0.2%,Independent
8,8,Hari Om,202,0.1%,Independent
9,9,Anil Sharma,169,0.1%,Nationalist Congress Party
10,10,Devender Yadav,160,0.1%,Independent
