x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kapil Mishra,"101,865",59.9%,Aam Aadmi Party
2,2,Mohan Singh Bisht,"57,434",33.7%,Bharatiya Janta Party
3,3,Satan Pal Dayma,"5,362",3.2%,Indian National Congress
4,4,Dharmendra Singh,"2,202",1.3%,Bahujan Samaj Party
5,5,Ranjit Tiwari,712,0.4%,Communist Party Of India (MARXIST)
6,6,Sunder Singh Dedha,696,0.4%,Independent
7,7,Dharm Dass,279,0.2%,Rashtriya Bahujan Hitay Party
8,8,Joginder Singh,211,0.1%,Independent
9,9,Shyam Pal Singh,151,0.1%,National Apni Party
10,10,Saryug Naryan,146,0.1%,Samras Samaj Party
11,11,Anil Kumar,144,0.1%,Asankhya Samaj Party
12,12,Prahlad Kumar Gupta,115,0.1%,Hindusthan Nirman Dal
