"Position","Candidate Name","Votes","Votes %","Party"
1,Manohar Untwal,665646,58.2%,Bharatiya Janta Party
2,Sajjan Singh Verma,405333,35.4%,Indian National Congress
3,Gokul Prasad Dongare,17238,1.5%,Bahujan Samaj Party
4,Kamal Singh Chouhan,16376,1.4%,Prajatantrik Samadhan Party
5,Sajan Singh,10113,0.9%,Independent
6,Radheshyam Malviya,4862,0.4%,Independent
7,Hemraj Singh Bamniya,4657,0.4%,Bahujan Sangharshh Dal
8,Sujeet Sangte,4216,0.4%,Aam Aadmi Party
9,Manohar Ahiriya,2763,0.2%,Independent
10,Soudan Singh Dalmiya,1509,0.1%,Bahujan Mukti Party
11,Sobhal Singh Sisodiya,1002,0.1%,Samata Samadhan Party
