x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Manoranjan Bhakta,"85,794",55.8%,Indian National Congress, AC View
2,2,Bishnu Pada Ray,"55,294",36.0%,Bharatiya Janta Party, AC View
3,3,Tapan Kumar Bepari,"4,175",2.7%,Communist Party Of India (MARXIST), AC View
4,4,R S Uma Bharathy,"2,364",1.5%,Nationalist Congress Party, AC View
5,5,N K P Nair,"1,448",0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Deepak Biswas,"1,186",0.8%,Independent, AC View
7,7,A K Biswas,"1,122",0.7%,Bahujan Samaj Party, AC View
8,8,Dr Shanmugam,691,0.4%,Lok Jan Shakti Party, AC View
9,9,Gour Chandra Majumder,543,0.4%,Independent, AC View
10,10,Asit Baran Dutta,523,0.3%,Independent, AC View
11,11,K Kalimuthu,387,0.3%,Independent, AC View
12,12,K Perumal,298,0.2%,Swaraj Dal, AC View
