x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sukdeo Paswan,"216,677",33.2%,Bharatiya Janta Party, AC View
2,2,Ramji Das Rishideo,"188,933",29.0%,Samajwadi Party, AC View
3,3,Ram Sewak Hazari,"173,502",26.6%,Lok Jan Shakti Party, AC View
4,4,Narayan Kumar Ram,"17,316",2.7%,Bahujan Samaj Party, AC View
5,5,Satya Narayan Writer,"11,946",1.8%,Independent, AC View
6,6,Nand Lal Paswan,"8,033",1.2%,Independent, AC View
7,7,Arun Kumar Rajak,"7,905",1.2%,Indian Justice Party, AC View
8,8,Daya Chand Kataria,"6,260",1.0%,Independent, AC View
9,9,Pushpa Nand Rishideo,"6,094",0.9%,Independent, AC View
10,10,Rajdhar Paswan,"4,807",0.7%,Shiv Sena, AC View
11,11,Lalu Paswan,"4,661",0.7%,Independent, AC View
12,12,Om Prakash Paswan,"3,367",0.5%,Apna Dal, AC View
13,13,Jagdeo Ram,"2,938",0.5%,Samata Party, AC View
