x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Chandra Shekhar,"270,136",43.6%,Samajwadi Janata Party (RASHTRIYA), AC View
2,2,Kapildeo Yadav,"189,082",30.5%,Bahujan Samaj Party, AC View
3,3,Parmatma Nand Tiwari Alias P.N Tiwari,"109,499",17.7%,Bharatiya Janta Party, AC View
4,4,Om Prakash,"28,266",4.6%,Suheldev Bhartiya Samaj Party, AC View
5,5,Suresh,"5,266",0.8%,Independent, AC View
6,6,Rajesh Kumar Singh Kushwaha,"4,730",0.8%,Rashtriya Sawarn Dal, AC View
7,7,Mohan Ram,"2,230",0.4%,Ambedkar Samaj Party, AC View
8,8,Surendar Alias Shweta,"2,076",0.3%,Independent, AC View
9,9,Sriram Chaudhary,"2,008",0.3%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
10,10,Subhash,"1,538",0.2%,Independent, AC View
11,11,Harendra Yadav Ji Maharaj,"1,458",0.2%,Apna Dal, AC View
12,12,Virendra,967,0.2%,Independent, AC View
13,13,Milan,890,0.1%,Independent, AC View
14,14,Maheshwar,871,0.1%,Independent, AC View
15,15,Kailash Chaudhari,745,0.1%,Independent, AC View
