x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Paramjit Kaur Gulshan,"323,394",42.4%,Shiromani Akali Dal, AC View
2,2,Kaushalya Chaman Bhaura,"260,752",34.2%,Communist Party Of India, AC View
3,3,Sarabjeet Singh,"113,490",14.9%,Shiromani Akali Dal (SIMRANJIT SINGH MANN), AC View
4,4,Gurnam Singh,"31,727",4.2%,Bahujan Samaj Party, AC View
5,5,Jasvir Singh,"8,733",1.1%,Independent, AC View
6,6,Bhagwant Singh Samaon,"7,505",1.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
7,7,Gurpreet Singh Bahia,"6,689",0.9%,Independent, AC View
8,8,Parminder Singh Quami,"5,429",0.7%,Democratic Bharatiya Samaj Party, AC View
9,9,Sham Lal,"2,908",0.4%,Independent, AC View
10,10,Hari Singh,"2,568",0.3%,Independent, AC View
