x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Anirudh Prasad Alias Sadhu Yadav,"336,016",48.4%,Rashtriya Janata Dal, AC View
2,2,Prabhu Dayal Singh,"143,097",20.6%,Janata Dal (United), AC View
3,3,Kali Prasad Panday,"136,424",19.6%,Independent, AC View
4,4,Chhathu Sah,"43,425",6.3%,Bahujan Samaj Party, AC View
5,5,Ram Naresh Ram,"11,023",1.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Sushma Devi,"7,563",1.1%,Independent, AC View
7,7,Paras Nath Pathak,"4,694",0.7%,Samajwadi Party, AC View
8,8,Monika Tiwari,"4,312",0.6%,Bharatiya Ekta Dal, AC View
9,9,Pramod Kumar Patel,"4,294",0.6%,Samata Party, AC View
10,10,Dina Nath Manjhi,"3,644",0.5%,Independent, AC View
