x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Girdhari Lal Bhargava,"480,730",54.6%,Bharatiya Janta Party, AC View
2,2,Pratap Singh Khachariawas,"373,544",42.4%,Indian National Congress, AC View
3,3,Vijay Rathi,"8,885",1.0%,Independent, AC View
4,4,O. P. Barwadia,"7,310",0.8%,Bahujan Samaj Party, AC View
5,5,Monu Kuruvila,"3,414",0.4%,Independent, AC View
6,6,Bhag Chand Jain,"1,491",0.2%,Independent, AC View
7,7,Mahendra Pratap Singh,"1,371",0.2%,Rashtriya Lok Dal, AC View
8,8,Inderjeet Singh,"1,251",0.1%,Samajwadi Party, AC View
9,9,Avinash Rai,877,0.1%,Independent, AC View
10,10,Prabhu Devi Soyal,807,0.1%,Independent, AC View
11,11,Iftkhar,732,0.1%,Independent, AC View
12,12,Om Prakash Kedawat,663,0.1%,Samata Party, AC View
