x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Karuna Shukla,"303,655",42.3%,Bharatiya Janta Party, AC View
2,2,Dr. Charandas Mahant,"292,326",40.8%,Indian National Congress, AC View
3,3,Murtiramsahu,"51,901",7.2%,Bahujan Samaj Party, AC View
4,4,Dr.Urmila Marko,"22,910",3.2%,Gondvana Gantantra Party, AC View
5,5,Hamid (ABDUL HAMID SIDDQIE),"13,441",1.9%,Independent, AC View
6,6,Dr. Vidyanand Tiwari,"7,275",1.0%,Independent, AC View
7,7,Badkuram Dhruw,"5,008",0.7%,Independent, AC View
8,8,Hemlata,"4,140",0.6%,Yuva Gantantra Party, AC View
9,9,Pramod Kumar,"3,263",0.5%,Independent, AC View
10,10,Parsram Yadav,"2,511",0.4%,Independent, AC View
11,11,Sahasram Yadav,"2,317",0.3%,Samajwadi Party, AC View
12,12,Shobha Lal Prajapti,"1,984",0.3%,Lok Jan Shakti Party, AC View
13,13,Ramdas Mahant,"1,951",0.3%,Chhattisgarhi Samaj Party, AC View
14,14,Dhanraj Patel,"1,833",0.3%,Apna Dal, AC View
15,15,Bhagwati Prasad Shukla Guruji,"1,689",0.2%,Bharatiya Prajatantrik Shudh Gandhiwadi Krishak Dal, AC View
16,16,Kanchan,"1,494",0.2%,Samata Party, AC View
