x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Bhalchandra Yadava,"234,712",33.5%,Bahujan Samaj Party, AC View
2,2,Bhishma Shankar Tiwari Alias Kushal Tiwari,"207,689",29.6%,Samajwadi Party, AC View
3,3,Ram Prasad Chaudhary,"177,417",25.3%,Bharatiya Janta Party, AC View
4,4,Mohammad Arshad Khan,"45,351",6.5%,National Loktantrik Party, AC View
5,5,Shivpujan Arya,"14,643",2.1%,Independent, AC View
6,6,Ramchet Chaurasia,"4,864",0.7%,Independent, AC View
7,7,Bhagwan Das,"4,025",0.6%,Independent, AC View
8,8,Baboo Ram,"2,890",0.4%,Independent, AC View
9,9,Radhe Shyam Patel,"2,548",0.4%,Apna Dal, AC View
10,10,Phoola Devi,"1,509",0.2%,Independent, AC View
11,11,Ram Nath Chaurasia,"1,386",0.2%,Rashtriya Samanta Dal, AC View
12,12,Ram Kewal Nigam,"1,372",0.2%,Shoshit Samaj Dal, AC View
13,13,Keshava Ram,"1,174",0.2%,Independent, AC View
14,14,Gabboo,"1,135",0.2%,Independent, AC View
