x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Dr. Shakeel Ahmad,"328,182",47.2%,Indian National Congress, AC View
2,2,Hukum Deo Narayan Yadav,"241,103",34.7%,Bharatiya Janta Party, AC View
3,3,Chaturanan Mishra,"92,168",13.3%,Communist Party Of India, AC View
4,4,Ram Chandra Yadav,"6,948",1.0%,Krantikari Samyavadi Party, AC View
5,5,Ajay Kumar Purbe,"6,175",0.9%,Samajwadi Party, AC View
6,6,Rajendra Yadav,"5,928",0.9%,Independent, AC View
7,7,Mishri Das,"5,337",0.8%,Bahujan Samaj Party, AC View
8,8,Irfanur Rahman,"3,697",0.5%,Rashtriya Lok Dal, AC View
9,9,Parikshan Paswan,"2,961",0.4%,Independent, AC View
10,10,Pashupati Chaudhary,"2,647",0.4%,Independent, AC View
