x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Bellarmin. A. V.,"410,091",61.2%,Communist Party Of India (MARXIST), AC View
2,2,Radhakrishnan. P,"245,797",36.7%,Bharatiya Janta Party, AC View
3,3,Balasubramanian. T,"4,612",0.7%,Akhil Bharat Hindu Mahasabha, AC View
4,4,George Thomas. R,"4,519",0.7%,Independent, AC View
5,5,Jamaludheen. B,"3,336",0.5%,Independent, AC View
6,6,Sivakumar. B,"1,758",0.3%,Independent, AC View
7,7,Murugan. V. N.,"1,618",0.2%,Independent, AC View
8,8,Manikanta Prasad. M,717,0.1%,Shiv Sena, AC View
9,9,Prabhakaran. K,401,0.1%,Independent, AC View
10,10,Subash. P,355,0.1%,Independent, AC View
11,11,Thankamony. C,351,0.1%,Independent, AC View
