x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Gawali (PATIL) KU.  BHAVANA PUNDLIKRAO,"358,682",49.8%,Shiv Sena, AC View
2,2,Naik Manohar Rajusing,"297,784",41.4%,Nationalist Congress Party, AC View
3,3,Dr. Jadhav Ravi Sampatrao,"21,943",3.0%,Bahujan Samaj Party, AC View
4,4,S. Wahiddoddin S. Karimoddin,"14,085",2.0%,Independent, AC View
5,5,Jagirdar Shamshoddin Ainnoddin,"6,842",1.0%,Lok Rajya Party, AC View
6,6,Kamble Shilanand Laxmanrao,"5,226",0.7%,Independent, AC View
7,7,Pathak Mohan Dattatraya,"3,827",0.5%,Independent, AC View
8,8,Shekh Mukim Ahamad Abdul Rashid,"3,515",0.5%,Samajwadi Party, AC View
9,9,Beniwale Salim Gangubhai,"2,668",0.4%,Independent, AC View
10,10,Yashwant Sukhdev Patil,"2,436",0.3%,Ambedkarist Republican Party, AC View
11,11,Kamble Uttam Bhagaji,"1,963",0.3%,Independent, AC View
12,12,Debaje Abuji Alies Pralhadrao Ashruji,"1,752",0.2%,Independent, AC View
