"Position","Candidate Name","Votes","Votes %","Party"
1,Kher Kirron Anupam,191362,42.2%,Bharatiya Janta Party
2,Pawan Kumar Bansal,121720,26.8%,Indian National Congress
3,Gulkirat Kaur Panag,108679,24.0%,Aam Aadmi Party
4,Jannat Jahan-Ul-Haq (NAINA),15934,3.5%,Bahujan Samaj Party
5,Reena Sharma,2643,0.6%,Independent
6,Shamsher Singh,2054,0.5%,Independent
7,Kawaljit Singh,1968,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Pawan Kumar Sharma,997,0.2%,Independent
9,Ramesh Chander,743,0.2%,Independent
10,Ajay Singla,660,0.1%,Independent
11,Khem Lal Bansal,640,0.1%,Inqalab Vikas Dal
12,Deepak Shukla,613,0.1%,Independent
13,Dharmender Singh,566,0.1%,Hindustan Ekta Party
14,Surender Kumar,550,0.1%,Bahujan Mukti Party
15,Surinder Bhardwaj,434,0.1%,Janata Dal (United)
16,Amarjit Kaur,397,0.1%,Independent
17,Jasmer Singh,389,0.1%,Independent
