"Position","Candidate Name","Votes","Votes %","Party"
1,Maheish Girri,572202,47.8%,Bharatiya Janta Party
2,Rajmohan Gandhi,381739,31.9%,Aam Aadmi Party
3,Sandeep Dikshit,203240,17.0%,Indian National Congress
4,Mohammad Shakeel Saifi,18575,1.6%,Bahujan Samaj Party
5,Mohd Shahid Siddiqui,3894,0.3%,All India Trinamool Congress
6,Arun Thakur,1708,0.1%,Samyak Parivartan Party
7,Shakeel Ahmed,1515,0.1%,Jai Maha Bharath Party
8,Jagannath Tiwari,1153,0.1%,Independent
9,Kumar Vivek Gautam,978,0.1%,Independent
10,Prem Singh,761,0.1%,Socialist Party (India)
11,Deepak Kumar,674,0.1%,Independent
12,Jai Ram Lal,668,0.1%,J & K National Panthers Party
13,Ram Briksh Mall,527,0.0%,Hindusthan Nirman Dal
14,Mohammed Naeem,466,0.0%,Independent
15,Rajesh,422,0.0%,Ambedkar National Congress
16,Manjeet Singh,415,0.0%,Independent
17,Padam Chand,404,0.0%,Independent
18,Manju Chhibber,402,0.0%,Republican Party Of India (A)
19,Virendra Mayer,395,0.0%,Samajwadi Janata Party (RASHTRIYA)
20,Ompal Singh,349,0.0%,Kalyankari Jantantrik Party
21,Mohd Naseer,339,0.0%,Peace Party
22,Praveen Kumar,325,0.0%,Bhartiya Jan Manch
23,Dr. Nabhit Kapur,210,0.0%,Naya Daur Party
