"Position","Candidate Name","Votes","Votes %","Party"
1,Gourav Gogoi,443315,38.0%,Indian National Congress
2,Mrinal Kumar Saikia,349441,30.0%,Bharatiya Janta Party
3,Bijoy Kumar Tiru,231295,19.8%,All India United Democratic Front
4,Dr. Arun Kumar Sarma,78132,6.7%,Asom Gana Parisad
5,Binod Gogoi,9583,0.8%,Independent
6,Montu Saikia,9133,0.8%,Independent
7,Jiten Gogoi,8271,0.7%,Independent
8,Samsul Alam,6538,0.6%,All India Trinamool Congress
9,Arup Kumar Mahanta,5433,0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
10,Rahmat Ullah,4985,0.4%,Independent
11,Mithual Kumar,2966,0.3%,All India Forward Bloc
12,Jinti Gogoi,2584,0.2%,Aam Aadmi Party
13,Sahaba Ahmed,2411,0.2%,Independent
