"Position","Candidate Name","Votes","Votes %","Party"
1,K.H.Muniyappa,418926,37.2%,Indian National Congress
2,Kolar Kesava,371076,32.9%,Janata Dal (Secular)
3,Em.Narayanaswamy,267322,23.7%,Bharatiya Janta Party
4,Kotiganahalli Ramaiah,17563,1.6%,Aam Aadmi Party
5,B.V.Venkatagiriyappa,6716,0.6%,Independent
6,G.N.Venkatesh,6233,0.6%,Independent
7,D.M.Ambareesha,4934,0.4%,Bahujan Samaj Party
8,V.Muniswamy,4803,0.4%,Samajwadi Party
9,N.Venkatesh,3602,0.3%,Independent
10,Dr.C.Mohan,2903,0.3%,Independent
11,M.Muniyappa,2667,0.2%,Independent
12,Vinayaka Prasad.H.N,2074,0.2%,Independent
13,K.H.Madhusoodan,1759,0.2%,Independent
14,H.N.Narayanaswamy,1583,0.1%,Independent
15,Narayanaswamy,1517,0.1%,Independent
16,V.Srinivasa,1424,0.1%,Independent
17,Beeda Srinivas N,1404,0.1%,Independent
18,M.S.Narayanaswamy,1291,0.1%,Independent
19,A.Prasad,1275,0.1%,Independent
20,R.Ravindra Kumar,1144,0.1%,Bharatiya Dr. B.R.Ambedkar Janta Party
21,K.Narendrababu,1089,0.1%,Independent
22,H.V.Anjappa,920,0.1%,Independent
