"Position","Candidate Name","Votes","Votes %","Party"
1,Mohite Patil Vijaysinh Shankarrao,489989,45.4%,Nationalist Congress Party
2,Sadabhau Ramchandra Khot,464645,43.0%,Swabhimani Paksha
3,Mohite-Patil Pratapsinh Shankarrao,25187,2.3%,Independent
4,Bansode Kundan Fulchand,15790,1.5%,Bahujan Samaj Party
5,Navanath Bhimrao Patil,8853,0.8%,Hindusthan Praja Paksha
6,Nagamani Kisan Jakkan,8829,0.8%,Independent
7,Adv. Savita Balkrishna Shinde,7160,0.7%,Aam Aadmi Party
8,Jadhav Sunil Gunda,7115,0.7%,Independent
9,Rohit Ramrushna More,6886,0.6%,Independent
10,Bhajanlal Yashvant Nimgaonkar,4625,0.4%,Independent
11,Baliram Sukhdev More,4139,0.4%,Independent
12,Sathi Bashir Ahmed Bashamiyan Shaikh,3367,0.3%,Independent
13,Adv.Subhash Balasaheb Patil (ANNA),3293,0.3%,Bahujan Mukti Party
14,Dr.Bhise Indrakumar Devrao,3094,0.3%,Independent
15,Pol Sudhir Arjun,2814,0.3%,Independent
16,Sunita Mohan Tupsoundrya,2522,0.2%,Independent
17,Shaikh Shahajan Paigambar,2336,0.2%,Independent
18,Prafull Shivrao Kadam,2301,0.2%,Independent
19,Devkate Somanath Alias Someshwar Chandrakant,2275,0.2%,Independent
20,Jagtap Nitin Maruti,2189,0.2%,Independent
21,Dagadu Manik Pawar,2117,0.2%,Independent
22,Suresh Shamrao Ghadge,1989,0.2%,All India Trinamool Congress
23,Walke Vikram Vasudeo,1969,0.2%,Independent
24,Dr.Pramod Ramchandra Gawade,1926,0.2%,Independent
