"Position","Candidate Name","Votes","Votes %","Party"
1,Ajay Nishad,469295,49.5%,Bharatiya Janta Party
2,Akhilesh Pd Singh,246873,26.0%,Indian National Congress
3,Vijendra Chaudhary,85140,9.0%,Janata Dal (United)
4,Ashok Kumar Jha,19945,2.1%,Shiv Sena
5,Raghvendra Pratap Singh,13283,1.4%,Rajnaitik Vikalp Party
6,Nageshwar Prasad Singh,9202,1.0%,Independent
7,Rajeev Ranjan,9069,1.0%,Bahujan Samaj Party
8,Shatrudhan Sahni,8223,0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Mahesh Rai,7978,0.8%,Bahujan Mukti Party
10,Akshay Verma,7569,0.8%,Sarvajan Kalyan Loktantrik Party
11,Prabhat Suman,6945,0.7%,Aam Aadmi Party
12,Rajesh Kumar,6118,0.6%,All India Forward Bloc
13,Suresh Kumar,5211,0.5%,Independent
14,Madhur Sheel,4309,0.5%,Jai Maha Bharath Party
15,Shravan Kumar Jha,3746,0.4%,Independent
16,Ashok Kumar Singh,3734,0.4%,Socialist Unity Centre Of India (COMMUNIST)
17,Pankaj Kumar Srivastava,3365,0.4%,Jai Prakash Janata Dal
18,Ravi Shankar Paswan,3334,0.4%,Independent
19,Kamlesh Choudhary,3147,0.3%,Independent
20,Ajitansh Gaur,2755,0.3%,Independent
21,Kunal Priyadarshi,2471,0.3%,Rashtriya Krantikari Samajwadi Party
22,Rupesh Kumar Kuar,2370,0.2%,Independent
23,Naval Kishore Jha,2364,0.2%,Samajwadi Janata Party (RASHTRIYA)
24,Mohammad Anwarul Haque,2354,0.2%,Independent
25,Devendra Rakesh,2299,0.2%,Bajjikanchal Vikas Party
26,Nilu Singh,2271,0.2%,Proutist Bloc India
27,Mohmmad Taiyab,2269,0.2%,Independent
28,Deepak Kumar,1809,0.2%,Independent
29,Mahesh Paswan,1749,0.2%,Independent
