"Position","Candidate Name","Votes","Votes %","Party"
1,Sambasiva Rao Rayapati,632464,49.3%,Telugu Desam
2,Ayodhya Ramireddy Alla,597184,46.6%,Yuvajana Sramika Rythu Congress Party
3,Kondapalli Venkateswarlu,22943,1.8%,Indian National Congress
4,Akki Reddy Bhimanadula,7032,0.5%,Pyramid Party Of India
5,Yeluri Srilatha,5142,0.4%,Jai Samaikyandhra Party
6,Mekala Hanumantha Rao Yadav,4911,0.4%,Bahujan Samaj Party
7,Rosaiah Sivaparapu,1877,0.1%,Marxist Communist Party Of India (United)
8,Kanumuri Koteswara Rao,1404,0.1%,Independent
9,Paruvuri Ramesh,1118,0.1%,Independent
10,Ravu Subrahmanyam,1025,0.1%,Independent
11,Jangala Singaraiah Yadav,973,0.1%,Independent
