"Position","Candidate Name","Votes","Votes %","Party"
1,B.V.Nayak,443659,45.8%,Indian National Congress
2,Arakera Shivanagouda Nayak,442160,45.6%,Bharatiya Janta Party
3,D.B.Nayak,21706,2.2%,Janata Dal (Secular)
4,Raja Thimappa Nayak,12254,1.3%,Bahujan Samaj Party
5,M Nagaraj,6938,0.7%,Communist Party Of India (Marxist-Leninist) Red Star
6,K Somashekar Yadgiri,6788,0.7%,Socialist Unity Centre Of India (COMMUNIST)
7,Chinnayya Nayak,6540,0.7%,Independent
8,Ranganayak,4935,0.5%,Pyramid Party Of India
9,Bhimaraya Jaradabandi,4234,0.4%,Aam Aadmi Party
10,Maruti,3618,0.4%,National Development Party
11,Bhagavantappa,2881,0.3%,Lok Satta Party
