"Position","Candidate Name","Votes","Votes %","Party"
1,Deepender Singh Hooda,490063,46.9%,Indian National Congress
2,Om Parkash Dhankar,319436,30.6%,Bharatiya Janta Party
3,Shamsher Singh Kharkara,151120,14.5%,Indian National Lok Dal
4,Naveen Jaihind,46759,4.5%,Aam Aadmi Party
5,Manoj Kumar,18690,1.8%,Bahujan Samaj Party
6,Vishnu Dutt,3151,0.3%,Independent
7,Jai Karan Mandauthi,2497,0.2%,Socialist Unity Centre Of India (COMMUNIST)
8,Satpal,2449,0.2%,Independent
9,Sajjan Singh,2032,0.2%,Independent
10,Sunil Kumar,947,0.1%,All India Trinamool Congress
11,Anil,829,0.1%,Rashtriya Bahujan Hitay Party
12,Jai Singh,614,0.1%,Independent
13,Ravinder Kumar,418,0.0%,Indian Bahujan Sandesh Party (Kanshiram)
14,Karan Singh,394,0.0%,Independent
