"Position","Candidate Name","Votes","Votes %","Party"
1,Satyapal Singh,360242,34.1%,Bharatiya Janta Party
2,Dr Shafiq- Ur Rahman Barq,355068,33.6%,Samajwadi Party
3,Aqeel-Ur -Rehman Khan,252640,23.9%,Bahujan Samaj Party
4,Dharam Yadav Urf D.P.Yadav,36134,3.4%,Rashtriya Parivartan Dal
5,Acharya Pramod Krishnam,16034,1.5%,Indian National Congress
6,Nutan Vijay Advocate,6686,0.6%,Independent
7,Dr. Rashid Ali,6376,0.6%,Peace Party
8,Mohd Aslam Urf Pasha,3833,0.4%,Republican Party Of India (A)
9,Firoz Haider,3648,0.3%,Independent
10,Rashid,2791,0.3%,Independent
11,Nanad Ram Khadagvanshi,2322,0.2%,Independent
12,Aqeel Ahmad,2005,0.2%,Independent
13,Rekha Devi Yadav,1565,0.1%,Sanyukt Samajwadi Dal
