"Position","Candidate Name","Votes","Votes %","Party"
1,Rajiv Pratap Rudy,355120,41.1%,Bharatiya Janta Party
2,Rabri Devi,314172,36.4%,Rashtriya Janata Dal
3,Saleem Perwez,107008,12.4%,Janata Dal (United)
4,Bal Mukund Chauhan,15500,1.8%,Bahujan Samaj Party
5,Lalan Prasad,14687,1.7%,Independent
6,Lalu Rai,9957,1.2%,Independent
7,Rajesh Kumar,9748,1.1%,Bharatiya Ekta Dal
8,Chandan Kumar Alias Chandan Gupta,6765,0.8%,Bihar Janta Party
9,Parmatma Singh,5099,0.6%,Aam Aadmi Party
10,Ranjan Kumar,3217,0.4%,Jai Maha Bharath Party
11,Niraj Ram,2818,0.3%,Bahujan Mukti Party
