"Position","Candidate Name","Votes","Votes %","Party"
1,Daddan Mishra,345964,35.3%,Bharatiya Janta Party
2,Atiq Ahmad,260051,26.5%,Samajwadi Party
3,Lal Ji Verma,194890,19.9%,Bahujan Samaj Party
4,Rizwan Zaheer,101817,10.4%,Peace Party
5,Vinay Kumar Pandey 'vinnu',20006,2.0%,Indian National Congress
6,Arun Kumar,10083,1.0%,Independent
7,Ram Adhar,6278,0.6%,Independent
8,Vijay Kumar,5542,0.6%,Independent
9,Praksh Chandra Mishra,4489,0.5%,Jan Sevak Party
10,Arjun Yadav,3730,0.4%,Independent
11,Tej Bahadur,3474,0.4%,Independent
12,Saxen,3188,0.3%,Samyak Parivartan Party
13,Ram Sudhi,2961,0.3%,Jan Shakti Ekta Party
14,Ratnesh,2578,0.3%,Aam Aadmi Party
