"Position","Candidate Name","Votes","Votes %","Party"
1,Kesineni Srinivas,592696,49.6%,Telugu Desam
2,Koneru Rajendra Prasad,517834,43.3%,Yuvajana Sramika Rythu Congress Party
3,Avinash Devineni,39751,3.3%,Indian National Congress
4,Kambala. Subrahmanyam (SASTRY),7538,0.6%,Welfare Party Of India
5,Ishwarya Lakshmi Chinnam,5296,0.4%,Jai Samaikyandhra Party
6,Chigurupati Ramalingeswara Rao,3579,0.3%,Bahujan Samaj Party
7,Har Mohinder Singh Sahani,3088,0.3%,Aam Aadmi Party
8,M.Phani Prakash,2809,0.2%,Independent
9,Raja Kumari Gundapaneni,2570,0.2%,Pyramid Party Of India
10,Tatineni Srinivasa Rao,2456,0.2%,Independent
11,Dasari Venkata Nagesh,1873,0.2%,Independent
12,Surapaneni Saratbabu,1521,0.1%,Independent
13,Yaram Katam Raju,1402,0.1%,Independent
14,Altaf Ali Mohamed,1167,0.1%,Independent
15,Koneru Ramachandra Prasad,1096,0.1%,Independent
16,Koneru Rajendra Prasad,1014,0.1%,Independent
17,Chatragadda Pratap,950,0.1%,Independent
18,Sunkara Krishna Murthy,803,0.1%,Andhra Rastra Praja Samithi
19,V.R.K.Murthy.,748,0.1%,Independent
20,Bolisetty Haribabu,667,0.1%,Independent
21,Ahmed Ansari Syed,504,0.0%,Independent
22,P.V. Krishnaiah,423,0.0%,Independent
