"Position","Candidate Name","Votes","Votes %","Party"
1,Ramcharan Bohara,863358,66.6%,Bharatiya Janta Party
2,Dr. Mahesh Joshi,324013,25.0%,Indian National Congress
3,Dr. Virendra Singh,55118,4.3%,Aam Aadmi Party
4,D.K. (DEV KRISHAN) CHHANGANI,15597,1.2%,Communist Party Of India
5,Farooq Shah,5193,0.4%,Bahujan Samaj Party
6,Hafiz Khan Warasi,5020,0.4%,Independent
7,Munna Dass Dabodia,4856,0.4%,Independent
8,Anil Kumar Sharma,4599,0.4%,Jago Party
9,Ram Singh Raj,2072,0.2%,Independent
10,Pawan Singh Shekhawat,1987,0.2%,Independent
11,Raju Lal Bairwa,1899,0.1%,Ambedkarite Party Of India
12,Neeru Agarwal,1566,0.1%,National Unionist Zamindara Party
13,Abdul Aziz Bhartiya,1103,0.1%,Rashtriya Ulama Council
14,Dr. Tanmay,893,0.1%,Indian Peoples Green Party
15,Iftekar Qurishi,621,0.0%,All India Forward Bloc
16,Kailash Chand Saini,566,0.0%,Hindustan Janata Party
