"Position","Candidate Name","Votes","Votes %","Party"
1,Dr.Shrikant Eknath Shinde,440892,53.5%,Shiv Sena
2,Anand Prakash Paranjpe,190143,23.1%,Nationalist Congress Party
3,Pramod (RAJU) RATAN PATIL,122349,14.8%,Maharashtra Navnirman Sena
4,Naresh Arvind Thakur,20347,2.5%,Aam Aadmi Party
5,Kiratkar Dayanand Tulshiram,19643,2.4%,Bahujan Samaj Party
6,Anil More,3531,0.4%,Bahujan Mukti Party
7,Mohammad Hameed Sayyed,3047,0.4%,Samajwadi Party
8,Mohammed Ahmed Mukhtar Khan Alias Ahmed Neta,2467,0.3%,Independent
9,Shashikant Dada Rasal,2096,0.3%,Independent
10,Bhosale Shamu Ramu,1869,0.2%,Bharipa Bahujan Mahasangh
11,Telgote Prakash Shamrao,1600,0.2%,Independent
12,Mote Chandrakant Rambhaji,1279,0.2%,Independent
13,Asmita Pushkar Puranik,1243,0.2%,Independent
14,Sulochana Dharmendra Sonkamble,1229,0.1%,Republican Bahujan Sena
15,Dilip Prabhakar Aloni (JOSHI),1222,0.1%,Independent
16,Shiva Krishnamurthy Iyar,788,0.1%,Independent
17,Sudhakar Narayan Shinde,726,0.1%,Ambedkarite Party Of India
18,Belamkar Milind Chandrakant,540,0.1%,Lok Bharati
