"Position","Candidate Name","Votes","Votes %","Party"
1,Raj Kumar Saini,418112,36.8%,Bharatiya Janta Party
2,Balbir Singh Saini,288376,25.4%,Indian National Lok Dal
3,Naveen Jindal,287722,25.3%,Indian National Congress
4,Chattar Singh,68926,6.1%,Bahujan Samaj Party
5,Balwinder Kaur,32554,2.9%,Aam Aadmi Party
6,Raj Kumar Saini,6061,0.5%,Independent
7,Jasvinder Jasht Bhukhri,3887,0.3%,Independent
8,Ashwani Malhotra,3251,0.3%,All India Trinamool Congress
9,Chuni Manoj Kumar,2770,0.2%,Independent
10,Ranbir Singh Sharma,2765,0.2%,Independent
11,Rameshwar Kumar Saini,2344,0.2%,Bhartiya Shakti Chetna Party
12,Vishnu Bhagwan Aggarwal,2083,0.2%,Independent
13,Davinder Kumar,2041,0.2%,Independent
14,Master Dharampal Dhiman Brahaman,1994,0.2%,Independent
15,Kuldeep Singh Mallhi,1665,0.1%,Republican Party Of India
16,Ram Kishan,1635,0.1%,Lok Parivartan Party(DC)
17,Anil Kumar,1593,0.1%,Independent
18,Kanta Allaria,1534,0.1%,Indian Bahujan Sandesh Party (Kanshiram)
19,Onkar Singh,1483,0.1%,National Janhit Congress (AB)
20,Gurmeet Singh,1092,0.1%,Lok Dal
21,Kiran Pal,762,0.1%,Bharatiya Inqalab Party
22,Ca. Satish Singal,760,0.1%,Independent
