"Position","Candidate Name","Votes","Votes %","Party"
1,Patel Jayshreeben Kanubhai,580250,57.8%,Bharatiya Janta Party
2,Patel Jivabhai Ambalal,371359,37.0%,Indian National Congress
3,Thakor Kevalji Nathaji,9766,1.0%,Bahujan Samaj Party
4,Mahmad Azam Haiderkhan Pathan,6139,0.6%,Independent
5,Prajapati Vitthalbhai Virdas,5982,0.6%,Independent
6,Girishji Jenaji Dabhi,4825,0.5%,Bharatiya National Janta Dal
7,Smt Vandanaben Dineshkumar Patel,3731,0.4%,Aam Aadmi Party
8,Thakor Samaratji Balvantsinh,2427,0.2%,Independent
9,Thakor Babuji Dhanaji,1804,0.2%,Independent
10,Thakor Baldevji Maganji,1653,0.2%,Independent
11,Zala Indrajitsinh Mahendrasinh,1340,0.1%,Samajwadi Party
12,Thakor Mansangji Punjaji,1251,0.1%,Bahujan Mukti Party
13,Chaudhary Dineshbhai Salubhai,1084,0.1%,Vishva Hindustani Sangathan
14,Patel Dilipbhai Somabhai,1032,0.1%,Hindustan Janata Party
