"Position","Candidate Name","Votes","Votes %","Party"
1,Sudhir Gupta,698335,60.1%,Bharatiya Janta Party
2,Meenakshi Natarajan,394686,34.0%,Indian National Congress
3,Paras Saklecha Dada,10183,0.9%,Aam Aadmi Party
4,Minakshi Pandey,8333,0.7%,Independent
5,Krantiparivartan,8104,0.7%,Bahujan Samaj Party
6,Shaikh Azizuddin Quraishi,7992,0.7%,All India Forward Bloc
7,Sudhir Gautam,7615,0.7%,Independent
8,Banshi Lal Patidar,3501,0.3%,Bahujan Sangharshh Dal
9,Bano Bi,3441,0.3%,Bharatiya Minorities Suraksha Mahasangh
10,Minakshi Chouhan,3151,0.3%,Independent
11,Prof. Purushottam Meghwal,2626,0.2%,Independent
12,Nilesh Tiwari,1685,0.1%,Independent
13,Ismaile Mew,1616,0.1%,Independent
14,Raju Malviya,1513,0.1%,Bahujan Mukti Party
