"Position","Candidate Name","Votes","Votes %","Party"
1,Kalvakuntla Kavitha,439307,42.5%,Telangana Rashtra Samithi
2,Madhu Yaskhi Goud,272123,26.3%,Indian National Congress
3,Endala Lakshminarayana,225333,21.8%,Bharatiya Janta Party
4,Malik Mohtasim Khan,43814,4.2%,Welfare Party Of India
5,Bagwan B,8129,0.8%,Independent
6,Talari Ramulu,7421,0.7%,Bahujan Samaj Party
7,Abdul Gani,4791,0.5%,B. C. United Front
8,Kandem Prabhakar,3990,0.4%,Independent
9,Banja Veerappa,3651,0.4%,Pyramid Party Of India
10,Singareddy Ravindra Reddy,3529,0.3%,Yuvajana Sramika Rythu Congress Party
11,Chirulingadrula Venkatesham,3091,0.3%,Independent
12,S. Chandraiah,2817,0.3%,Independent
13,Rapelly Srinivas,2621,0.3%,Aam Aadmi Party
14,Kotapati Narsimham Naidu,2462,0.2%,Independent
15,Sagar Suddala,1978,0.2%,Bahujan Mukti Party
16,Abdul Kareem Khan (BABU),1601,0.2%,Independent
