"Position","Candidate Name","Votes","Votes %","Party"
1,Swami Sachchidanand Hari Sakshi,518834,43.2%,Bharatiya Janta Party
2,Arun Shankar Shukla,208661,17.4%,Samajwadi Party
3,Brajesh Pathak,200176,16.7%,Bahujan Samaj Party
4,Annu Tandon,197098,16.4%,Indian National Congress
5,Anil Kumar Chaudhary,9618,0.8%,Independent
6,Rameshwar,9277,0.8%,Independent
7,Girja Shankar @ Raju,5871,0.5%,Swarajya Party Of India
8,Akhilesh Kumar,5128,0.4%,Communist Party Of India (Marxist-Leninist) Red Star
9,Sukhdev,4401,0.4%,Manavtawadi Samaj Party
10,Arvind Kumar,4214,0.4%,Aam Aadmi Party
11,Mohammad Amir Khan,4148,0.3%,Independent
12,Rajnikant,3987,0.3%,Independent
13,Shivkant,3978,0.3%,Independent
14,Shivnath,3472,0.3%,Independent
15,Sumit Tewari,3398,0.3%,Nav Bharat Democratic Party
16,Anil Kumar,3214,0.3%,Independent
17,Rakesh Kumar,2771,0.2%,Bahujan Mukti Party
18,Chetram Pasi,2592,0.2%,Republican Party Of India (A)
19,Shalu Dharmendra,2440,0.2%,Samtawadi Republican Party
20,Anil Kumar Mishra,1881,0.2%,Socialist Party (India)
21,Roop Narayan Singh,1818,0.2%,Bhartiya Shakti Chetna Party
