"Position","Candidate Name","Votes","Votes %","Party"
1,Ramdas Chandrabhanji Tadas,537518,53.0%,Bharatiya Janta Party
2,Meghe Sagar Dattatraya,321735,31.7%,Indian National Congress
3,Chetan Bhimraj Pendam,90866,9.0%,Bahujan Samaj Party
4,Mohd. Alim Patel Mohd. Wahid,15738,1.6%,Aam Aadmi Party
5,Ubale Shrikrushna Champatrao,6405,0.6%,Ambedkarist Republican Party
6,Manish Vinayakrao Telrandhe,5127,0.5%,Independent
7,Shambharkar Rajendra Gulabrao,4436,0.4%,Independent
8,Ravi Alias Shailesh Ganeshrao Yelne,3881,0.4%,Independent
9,Shambaba Alias Shamsundar Panjabrao Nichit,3440,0.3%,Independent
10,Bhaskar Marotrao Neware,3156,0.3%,Independent
11,Raut Jaganath Nilkanth,2638,0.3%,Independent
12,Narendra Chinduji Meshram,2627,0.3%,Gondvana Gantantra Party
13,Kishor Rambhau Kinkar,2518,0.2%,Bahujan Mukti Party
14,Tadas Vilas Krushnaji,2124,0.2%,Independent
15,Dr. Ankush Vijayrao Nawale,1858,0.2%,Samajwadi Party
16,Deshmukh Jaideep Rajendra,1431,0.1%,Independent
17,Sachin Pandurangji Raut Alias Gurubhau,1245,0.1%,Independent
18,Deepaksingh Tryambakrao Deshmukh,1122,0.1%,Independent
19,Jagdish Bhagwan Kadu,853,0.1%,Independent
20,Sanjaybhau Narayanrao Chidam,770,0.1%,Independent
21,Arvind Shamrao Lillore,614,0.1%,Independent
