x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Raj Babbar,"243,094",37.8%,Samajwadi Party, AC View
2,2,Murari Lal Mittal Fatehpuria,"185,752",28.9%,Bharatiya Janta Party, AC View
3,3,Pandit Keshav Prasad Dixit,"174,149",27.1%,Bahujan Samaj Party, AC View
4,4,Surendra Singh,"14,483",2.3%,Indian National Congress, AC View
5,5,Sayed Irfan Ahmad,"12,346",1.9%,Rashtriya Hamara Dal, AC View
6,6,Sundar Singh,"3,897",0.6%,Independent, AC View
7,7,Samarveer Singh Chahar,"2,233",0.3%,Rashtriya Samanta Dal, AC View
8,8,Sundar Babu Chanchal,"1,991",0.3%,Independent, AC View
9,9,Rajesh Kumar Singh Kushwaha,"1,843",0.3%,Independent, AC View
10,10,Firoz Khan,577,0.1%,Independent, AC View
11,11,Madan Lal Timori,546,0.1%,Apna Dal, AC View
12,12,Devi Singh,479,0.1%,Rashtriya Krantikari Samajwadi Party, AC View
13,13,Rajendra Kardam,467,0.1%,Independent, AC View
14,14,Dileep,345,0.1%,Independent, AC View
15,15,Anoop,278,0.0%,Independent, AC View
16,16,Girraj,239,0.0%,Independent, AC View
