x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Amrendra Kumar Pandey,48800,"72,224",43.3%,Janata Dal (United),
2,2,Kali Prasad Pandey,48800,"68,662",41.1%,Lok Jan Shakti Party,
3,3,Parshuram Kumar,200,"4,936",3.0%,Independent,
4,4,Muna Prasad,200,"4,615",2.8%,Communist Party Of India (MARXIST),
5,5,Om Prakash Prasad,200,"2,355",1.4%,Independent,
6,6,Sadman Ali,200,"1,801",1.1%,Bahujan Samaj Party,
7,7,Arjun Prasad Kushwaha,200,"1,550",0.9%,Garib Janta Dal (Secular),
8,8,Devendra Ray,200,"1,209",0.7%,Lok Awaz Dal,
9,9,Abhay Kumar Kushwaha,200,"1,161",0.7%,Bahujan Kranti Party (Marxwad-Ambedkarwad),
10,10,Engineer Prasad,200,867,0.5%,Samajwadi Party,
