x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vyas Deo Prasad,43671,"55,156",35.0%,Bharatiya Janta Party,
2,2,Bablu Prasad,43671,"51,622",32.8%,Janata Dal (United),
3,3,Avadh Vihari Choudhari,813,"28,450",18.1%,Independent,
4,4,Harendra Dubey,150,"4,254",2.7%,Independent,
5,5,Vinod Kumar Srivastav,141,"4,102",2.6%,Shiv Sena,
6,6,Jamil Ahmad,122,"1,997",1.3%,Communist Party Of India (Marxist-Leninist) (Liberation),
7,7,Birendra Sah,122,"1,542",1.0%,Independent,
8,8,Kaushal Kishore Yadav,122,"1,458",0.9%,Independent,
9,9,Suman Kumar,111,911,0.6%,Samajwadi Party,
10,10,Ravindar Kumar Prasad,111,770,0.5%,Independent,
11,11,Dewakant Mishra,111,572,0.4%,Independent,
12,12,Binod  Singh Kuswaha,111,559,0.4%,Garib Janta Dal (Secular),
13,13,Nagendra Tiwari,111,494,0.3%,Loktantrik Janata Party (Secular),
14,14,Md. Moin,111,483,0.3%,Independent,
