x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ajay Kumar Singh,56071,"64,731",39.8%,Bharatiya Janta Party,
2,2,Suresh Kumar,56071,"61,562",37.9%,Rashtriya Janata Dal,
3,3,Shyam Bihari Prasad,318,"21,697",13.4%,Independent,
4,4,Kapildev Ray,114,"3,073",1.9%,Samajwadi Party,
5,5,Parmanand Prasad,104,"1,952",1.2%,Garib Janta Dal (Secular),
6,6,Chandra Kishor Pal,104,"1,681",1.0%,Bahujan Samaj Party,
7,7,Mithilesh Yadav,94,"1,481",0.9%,Independent,
8,8,Dhurendra Kumar,94,"1,277",0.8%,Independent,
9,9,Dr Gautam Kumar,94,"1,205",0.7%,Independent,
10,10,Naiyar Alam,94,613,0.4%,Bhartiya Lokmat Rashtrwadi Party,
