x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shyam Bahadur Singh,3400,"65,168",41.9%,Janata Dal (United),
2,2,Bachha Panday,3400,"50,585",32.6%,Lok Jan Shakti Party,
3,3,Mantu Kumar,200,"7,258",4.7%,Independent,
4,4,Mahadeo Paswan,200,"6,022",3.9%,Independent,
5,5,Lalasa Devi,200,"5,340",3.4%,Independent,
6,6,Irfan Ahmed,200,"3,107",2.0%,Communist Party Of India,
7,7,Dhananjay Kumar Singh,200,"2,481",1.6%,Bahujan Samaj Party,
8,8,Dhananjay Pandey,200,"2,351",1.5%,Independent,
9,9,Niraj Kr. Tiwari,200,"2,060",1.3%,Independent,
10,10,Rijwan Ahmad,200,"2,014",1.3%,Jan Adhikar Party (Loktantrik),
11,11,Abdul Gafar Ansari,200,"1,613",1.0%,Bhartiya New Sanskar Krantikari Party,
12,12,Umesh Kumar Singh,200,"1,446",0.9%,Independent,
13,13,Kamlesh Kumar Prasad,200,"1,193",0.8%,Independent,
14,14,Md. Azazul Haque,200,"1,039",0.7%,Samras Samaj Party,
15,15,Awadhesh Sharma,200,856,0.6%,Independent,
