x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Satyadeo Prasad Singh,14193,"70,965",42.8%,Rashtriya Janata Dal,
2,2,Devesh Kant Singh,14193,"63,314",38.1%,Bharatiya Janta Party,
3,3,Tribhuwan Ram,116,"5,230",3.2%,Independent,
4,4,Renu Yadav,109,"4,016",2.4%,Independent,
5,5,Ashok Kumar Singh,100,"3,060",1.8%,Independent,
6,6,Tarkeshwar Yadav,100,"2,921",1.8%,Communist Party Of India,
7,7,Lal Babu Sharma,100,"2,890",1.7%,Independent,
8,8,Raj Kapur Prasad Yadav,100,"2,010",1.2%,Bahujan Samaj Party,
9,9,Chandrama Sah,88,"1,581",1.0%,Independent,
10,10,Ramayan Singh,88,"1,575",1.0%,Independent,
11,11,Uma Shankar Tiwari,88,"1,530",0.9%,Bhartiya New Sanskar Krantikari Party,
12,12,Vijay Kumar Singh,88,"1,236",0.7%,Independent,
13,13,Surendra Singh Yadav,88,"1,047",0.6%,Samajwadi Party,
14,14,Akhileshwar Mishra,88,844,0.5%,Independent,
15,15,Sandhir Kumar Singh,88,539,0.3%,Aarakshan Virodhi Party,
16,16,Nayan Prasad,88,487,0.3%,Bharat Ka Kisan Majdoor Party,
17,17,Fazale Ali,88,469,0.3%,Garib Janta Dal (Secular),
