x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Manoranjan Singh,7761,"49,508",35.3%,Janata Dal (United),
2,2,Kameshwar Kumar Singh,7761,"41,382",29.5%,Bharatiya Janta Party,
3,3,Ranjeet Singh (HARPUR),1030,"28,345",20.2%,Independent,
4,4,Narendra Pratap Mishra,137,"3,662",2.6%,Independent,
5,5,Sanjay Kumar,129,"2,651",1.9%,Jan Adhikar Party (Loktantrik),
6,6,Santosh Kumar,118,"2,200",1.6%,Independent,
7,7,Kushwaha Rajbal Singh,118,"2,065",1.5%,Bahujan Samaj Party,
8,8,Ranjit Singh (MANJHI),118,"2,039",1.5%,Independent,
9,9,Ramesh Kumar Singh,118,"1,629",1.2%,Bhartiya New Sanskar Krantikari Party,
10,10,Binod Singh,118,"1,378",1.0%,Independent,
