x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr. C.N. Gupta,5867,"71,646",45.3%,Bharatiya Janta Party,
2,2,Randhir Kumar Singh,5867,"60,267",38.1%,Rashtriya Janata Dal,
3,3,Udit Rai,104,"5,707",3.6%,Independent,
4,4,Kanhaiya Singh,104,"5,176",3.3%,Independent,
5,5,Subhash Rai,98,"3,969",2.5%,Bahujan Samaj Party,
6,6,Santosh Kumar Mishra,91,"2,837",1.8%,Independent,
7,7,Vinod Kumar Tiwary,83,"1,092",0.7%,Independent,
8,8,Rajnarayan Gupta,80,772,0.5%,Aap Aur Hum Party,
9,9,Kaushal Kishor Singh,80,659,0.4%,Independent,
10,10,Lalan Prasad,80,621,0.4%,Independent,
11,11,Ramjee Singh,80,572,0.4%,Independent,
12,12,Ram Nath Rai,80,558,0.4%,Independent,
13,13,Parmeshwar Kumar,80,504,0.3%,Independent,
14,14,Manauar Hussain,80,379,0.2%,Bharatiya Momin Front,
