x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Chandrika Rai,290,"77,211",55.9%,Rashtriya Janata Dal,
2,2,Chhotelal Rai,290,"34,876",25.3%,Lok Jan Shakti Party,
3,3,Ritesh Kumar Roushan,77,"5,907",4.3%,Independent,
4,4,Sandhya Ray,72,"4,533",3.3%,Independent,
5,5,Shiv Kumar Prasad Rai,67,"2,371",1.7%,Bahujan Samaj Party,
6,6,Manoj Kumar,60,"1,235",0.9%,Independent,
7,7,Manish Kumar Dubey,60,"1,084",0.8%,Independent,
8,8,Santosh Kumar Singh,60,"1,043",0.8%,Shiv Sena,
9,9,Shiv Shankar Pd. Ray,60,934,0.7%,Communist Party Of India (MARXIST),
10,10,Damayanti Kumari,60,898,0.7%,Independent,
11,11,Amjad Javed,60,765,0.6%,Bharatiya Momin Front,
12,12,Ajeet Kumar,60,457,0.3%,Jan Adhikar Party (Loktantrik),
13,13,Ramaishwar Prasad Rai,60,392,0.3%,National Janta Party (Indian),
14,14,Chandan Kumar Singh,60,357,0.3%,National Jagaran Party,
