x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Tej Pratap Yadav,1000,"66,927",43.3%,Rashtriya Janata Dal,
2,2,Ravindra Ray,1000,"38,772",25.1%,Hindustani Awam Morcha (Secular),
3,3,Binod Kumar,400,"15,578",10.1%,Independent,
4,4,Jageshwar Ray,200,"3,961",2.6%,Jan Adhikar Party (Loktantrik),
5,5,Rizwanul Azam,200,"3,189",2.1%,Janta Dal Rashtravadi,
6,6,Reyaz Ahmad,200,"2,624",1.7%,Social Democratic Party Of India,
7,7,Vishwanath Ray Viplavi,200,"1,898",1.2%,Communist Party Of India,
8,8,Ashoke Krantti,200,"1,814",1.2%,Bahujan Samaj Party,
9,9,Satyanarayan Sharma,200,"1,625",1.1%,Bhartiya Dalit Party,
10,10,Surjit Kumar,200,"1,580",1.0%,Independent,
11,11,Mohammad Alam,200,"1,399",0.9%,Aap Aur Hum Party,
12,12,Lalit Kumar Ghosh,200,"1,351",0.9%,Socialist Unity Centre Of India (COMMUNIST),
13,13,Manoj Kumar,200,"1,266",0.8%,Janta Raj Vikas Party,
14,14,Ratnesh Kumar Singh,200,"1,119",0.7%,Kisan Shakti Jantantrik Party,
15,15,Ratnesh Kumar,200,"1,110",0.7%,Bharatiya Momin Front,
16,16,Dr. Suman Sinha,200,919,0.6%,Gareeb Aadmi Party,
17,17,Amar Kant Sah,200,908,0.6%,Rashtriya Pragati Party,
18,18,Arbind Kumar Singh,200,809,0.5%,Independent,
19,19,Nilofar Malika,200,706,0.5%,National Janta Party (Indian),
20,20,Deenanath Sahni,200,661,0.4%,Sarvajan Kalyan Loktantrik Party,
21,21,Arun Kumar,200,656,0.4%,Independent,
22,22,Baidhyanath Prasad Ray,200,629,0.4%,Independent,
23,23,Mithilesh Kumar Singh,200,624,0.4%,Independent,
24,24,Panna Lal Sahni,200,574,0.4%,Independent,
25,25,Jaynarayan Sah,200,479,0.3%,Bajjikanchal Vikas Party,
26,26,Arvind Kumar Singh,200,450,0.3%,Independent,
27,27,Pramod  Kumar,200,442,0.3%,Bahujan Mukti Party,
28,28,Uma Shankar Nirala,200,423,0.3%,Independent,
