x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Prema Chaudhary,4600,"67,548",46.1%,Rashtriya Janata Dal,
2,2,Mahendra Baitha,4600,"55,087",37.6%,Bharatiya Janta Party,
3,3,Ratan  Lal,200,"4,379",3.0%,Independent,
4,4,Prem Shankar Paswan,200,"2,768",1.9%,Independent,
5,5,Ram Jeenish Paswan,200,"2,374",1.6%,Independent,
6,6,Ram Kripal Paswan,200,"2,011",1.4%,Bahujan Samaj Party,
7,7,Shashank Kumar Anand,200,"1,486",1.0%,Aap Aur Hum Party,
8,8,Upendra Kumar,200,"1,263",0.9%,Independent,
9,9,Rita Devi,200,"1,066",0.7%,Independent,
10,10,Prem Prakash,200,"1,060",0.7%,Samajwadi Party,
11,11,Sanjeev Kumar Sanjay,200,"1,005",0.7%,Janta Dal Rashtravadi,
12,12,Rajesh Paswan,200,725,0.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
13,13,Pramesh Kumar,200,627,0.4%,Rashtriya Jankranti Party,
14,14,Reena Kumari,200,582,0.4%,Garib Janta Dal (Secular),
15,15,Chhathu Sada,200,581,0.4%,Kisan Shakti Jantantrik Party,
16,16,Harish Chandra Paswan,200,562,0.4%,Independent,
17,17,Bindeshwar Ram,200,538,0.4%,Independent,
18,18,Lakhindra Paswan,200,532,0.4%,Independent,
19,19,Rina Ragni,200,510,0.4%,Bahujan Mukti Party,
20,20,Anil Kumar,200,454,0.3%,Gareeb Aadmi Party,
21,21,Ranvijay Kumar,200,394,0.3%,Sathi Aur Aapka Faisala Party,
