x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ram Vilash Paswan,32200,"80,058",45.2%,Rashtriya Janata Dal,
2,2,Lalan Kumar,32200,"74,914",42.3%,Bharatiya Janta Party,
3,3,Hiralal Paswan,200,"4,622",2.6%,Communist Party Of India,
4,4,Parveen Nag,200,"3,103",1.8%,Bahujan Samaj Party,
5,5,Sudhir Kumar,200,"2,878",1.6%,Independent,
6,6,Shivnarayan Paswan Urf Shivlal Paswan,200,"2,210",1.3%,Independent,
7,7,Upendra Paswan,200,"1,345",0.8%,Independent,
8,8,Sunil Paswan,200,"1,065",0.6%,Jan Adhikar Party (Loktantrik),
9,9,Suresh Paswan,200,"1,012",0.6%,National Tiger Party,
10,10,Naresh Das,200,908,0.5%,Sarvajan Kalyan Loktantrik Party,
11,11,Udhali Paswan,200,879,0.5%,Independent,
