x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Prahlad Yadav,892,"82,490",50.2%,Rashtriya Janata Dal,
2,2,Prem Ranjan Patel,892,"52,460",31.9%,Bharatiya Janta Party,
3,3,Pramod Shrma,93,"6,539",4.0%,Communist Party Of India,
4,4,Sarvan Kumar Anand,87,"4,765",2.9%,Independent,
5,5,Nityanand Kumar,87,"4,200",2.6%,Independent,
6,6,Bikramaditya Kumar Singh,81,"2,908",1.8%,Independent,
7,7,Girish Bind,73,"2,152",1.3%,Sarvajan Kalyan Loktantrik Party,
8,8,Rajo Manjhi,71,"1,456",0.9%,Independent,
9,9,Sunil Kumar Raut,71,"1,104",0.7%,Bahujan Samaj Party,
10,10,Nivedita Kumari,71,966,0.6%,Independent,
11,11,Kamleshwari Mahto,71,705,0.4%,Independent,
12,12,Ramanuj Pd. Singh,71,638,0.4%,Samajwadi Party,
13,13,Jitendra Shukla,71,441,0.3%,Akhil Bharat Hindu Mahasabha,
14,14,Uchit Kumar,71,417,0.3%,Independent,
15,15,Akaleshwar Bhagat,71,379,0.2%,Independent,
