x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Shrawon Kumar,59866,"72,596",44.8%,Janata Dal (United),
2,2,Kaushlendra Kumar,59866,"69,600",42.9%,Bharatiya Janta Party,
3,3,Arunesh Kumar Yadav,97,"3,558",2.2%,Independent,
4,4,Sanjay Kumar,80,"1,678",1.0%,Independent,
5,5,Dilip Kumar,80,"1,583",1.0%,Bahujan Samaj Party,
6,6,Jibindra Kumar Pandey Alias- Shivendra Kumar,80,"1,405",0.9%,Shiv Sena,
7,7,Manmohan Kumar,80,"1,145",0.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Dileep Chaudhary,80,"1,124",0.7%,Jan Adhikar Party (Loktantrik),
9,9,Surendra Kumar,80,"1,068",0.7%,Bharatiya Inqalab Party,
10,10,Shyampati Devi,80,601,0.4%,Maanavvaadi Janta Party,
11,11,Vinod Uganwi,80,476,0.3%,Rastriya Insaaf Party,
12,12,Deo Kumar,80,376,0.2%,Jharkhand Mukti Morcha,
13,13,Partima Devi,80,376,0.2%,Rastriya Sadabahar Party,
