x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Asha Devi,28235,"72,192",43.2%,Bharatiya Janta Party,
2,2,Raj Kishor Yadav,28235,"66,983",40.1%,Rashtriya Janata Dal,
3,3,Tinku Yadav,166,"13,002",7.8%,Independent,
4,4,Nar Singh Kumar Alias Tempo Chandravanshi,105,"3,246",1.9%,Bahujan Samaj Party,
5,5,Akash Kumar,87,"1,518",0.9%,Bharatiya Momin Front,
6,6,Ritesh Kumar,87,"1,446",0.9%,Independent,
7,7,Mo Shakil Ansari Alias Tipu Sultan,87,"1,358",0.8%,Independent,
8,8,Natasha Sharma,87,903,0.5%,Socialist Unity Centre Of India (COMMUNIST),
9,9,Mohammad Salim,87,825,0.5%,Independent,
10,10,Yogendra Kumar Ray,87,592,0.4%,Bharatiya Jan Kranti Dal (Democratic),
11,11,Arvind Kumar Verma,87,587,0.4%,Lok Awaz Dal,
12,12,Sushma Sinha,87,582,0.4%,Gareeb Aadmi Party,
13,13,Rama Dhar  Singh,87,485,0.3%,Jawan Kisan Morcha,
