x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rekha Devi (VILL- PABHEDA),653,"89,657",48.3%,Rashtriya Janata Dal,
2,2,Nutan Paswan,653,"50,471",27.2%,Hindustani Awam Morcha (Secular),
3,3,Gopal Ravidas,162,"18,903",10.2%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Raj Kumar Ram,93,"4,247",2.3%,Bahujan Samaj Party,
5,5,Rekha Devi (VILL-BARA),86,"2,990",1.6%,Independent,
6,6,Nandlal Paswan,86,"2,821",1.5%,Independent,
7,7,Hira Chaudhary,86,"2,322",1.3%,Independent,
8,8,Mukesh Kumar,86,"2,305",1.2%,Independent,
9,9,Bhagirath Manjhi,76,"2,062",1.1%,Independent,
10,10,Pancham Lal,76,"1,441",0.8%,Samajwadi Party,
11,11,Suruj Paswan Alias Suraj Paswan,76,"1,186",0.6%,Independent,
12,12,Prakash Chandra,76,"1,082",0.6%,Public Mission Party,
13,13,Dharmadev Kumar Nirala,76,960,0.5%,Independent,
14,14,Munna Kumar,76,762,0.4%,Rashtriya Jagriti Party,
15,15,Indrajeet Kumar,76,676,0.4%,Independent,
16,16,Suryoday Paswan,76,618,0.3%,Sankhyanupati Bhagidari Party,
17,17,Mahendra Mochi,76,524,0.3%,Lok Awaz Dal,
18,18,Munna Paswan,76,435,0.2%,Bharatiya Bahujan Congress,
