x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mohammad Nawaz Alam,141952,"70,004",44.9%,Rashtriya Janata Dal,
2,2,Amrendra Pratap Singh,141952,"69,338",44.5%,Bharatiya Janta Party,
3,3,Kyamuddin Ansari,105,"5,035",3.2%,Communist Party Of India (Marxist-Leninist) (Liberation),
4,4,Jitendra Kumar,81,"1,710",1.1%,Independent,
5,5,Rajkishor Sharma,81,"1,221",0.8%,Independent,
6,6,Priya Ranjan Prasad Srivastava,81,"1,175",0.8%,Samras Samaj Party,
7,7,Ajay Kumar Pathak,81,"1,015",0.7%,Akhil Bharatiya Jan Sangh,
8,8,Sidhnath Rai,81,875,0.6%,Samajwadi Party,
9,9,Krishna Mishra,81,839,0.5%,Bahujan Samaj Party,
10,10,Kameshwar Singh,81,717,0.5%,Independent,
11,11,Umeshwar Mishra,81,655,0.4%,Bhartiya Jagran Party,
