x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Lal Babu Prasad Gupta,30200,"62,831",42.4%,Bharatiya Janta Party,
2,2,Laxmi Narayan Prasad Yadav,30200,"58,457",39.5%,Rashtriya Janata Dal,
3,3,Avaneesh Kumar Singh,200,"12,172",8.2%,Samajwadi Party,
4,4,Om Prakash,200,"4,531",3.1%,Bahujan Samaj Party,
5,5,Hiralal Ray,200,"1,754",1.2%,Independent,
6,6,Arun Singh,200,"1,559",1.1%,Jan Adhikar Party (Loktantrik),
7,7,Satrudhan Singh,200,"1,327",0.9%,Independent,
8,8,Ranjit Sah,200,805,0.5%,Independent,
9,9,Harendra Prasad Yadav,200,618,0.4%,Garib Janta Dal (Secular),
10,10,Imtiyazul Haque,200,608,0.4%,Independent,
11,11,Dilip Kumar,200,516,0.4%,Independent,
12,12,Vishal Sinha,200,486,0.3%,Sarvajan Kalyan Loktantrik Party,
